design1,design2,merit1,merit2
623,417,9.51167,0.297861
3,179,57.3907,12.5606
5,21,25.6761,14.2484
8,328,25.6088,4.35091
706,250,15.0164,0.423658
5,671,10.8514,5.012
204,286,1.14273,0.5239060000000001
186,8,49.0601,13.0234
726,517,9.38883,0.24974899999999997
4,21,37.4794,17.1736
115,15,54.32100000000001,8.66548
702,4,100.0,0.0
974,36,21.996,2.29561
201,733,9.0958,0.33879000000000004
712,309,13.8448,0.360141
8,96,45.7068,6.9150199999999975
251,3,56.2411,31.5532
9,11,51.2463,19.4078
9,476,12.1644,3.3852599999999997
26,784,15.1653,1.33424
4,15,16.6538,17.8317
269,13,31.2283,7.1052100000000005
127,15,52.2253,8.34758
13,17,44.6836,12.171
188,141,7.49083,0.8877
39,25,52.2963,7.0726
821,3,100.0,0.0
926,239,19.359,0.425547
32,96,2.42461,2.22448
880,38,19.7784,2.14757
47,36,42.7619,4.7043
405,432,4.6818,0.32463600000000004
14,4,82.2896,48.247
13,122,32.815,4.19872
9,4,78.7378,50.1227
102,423,6.3883800000000015,0.604572
821,6,100.0,0.0
19,780,12.6948,1.69538
408,521,3.1677400000000002,0.288444
189,392,2.9925900000000003,0.458325
174,767,10.4256,0.359689
458,213,8.190430000000001,0.509
119,5,65.9859,23.8114
4,29,50.5492,16.4122
8,54,41.3541,8.04791
554,854,1.17544,0.198087
3,514,31.3478,8.38865
9,106,42.5822,6.05129
93,6,68.6977,22.1291
53,6,75.8727,26.4862
81,97,16.1989,1.60776
64,133,6.98804,1.37287
430,51,1.23656,1.62726
251,22,28.3287,4.41832
8,293,28.7523,4.559819999999998
345,191,3.01052,0.579637
188,644,7.52844,0.36698800000000004
7,66,48.2169,8.61682
60,635,13.106,0.745518
296,7,35.3193,12.9268
17,8,72.833,25.0206
295,3,51.9011,31.5571
5,223,43.6169,7.600060000000001
733,24,12.9228,3.30725
347,5,35.2965,18.5593
243,7,42.1684,13.5256
112,586,10.4182,0.508908
302,883,6.14471,0.254441
5,124,53.6724,9.53775
631,6,74.4766,66.0307
666,114,14.8792,0.803611
305,4,44.0462,23.6338
786,11,8.40548,8.51678
4,327,37.9422,7.80756
18,7,75.6253,28.2187
862,3,100.0,0.0
50,136,2.68684,1.4894
5,48,54.44,12.3999
134,167,6.1939800000000025,0.882466
735,52,15.9795,1.59447
11,54,28.8971,6.1090300000000015
38,5,79.9145,33.9251
988,35,22.239,2.3690599999999997
7,30,26.9325,10.146
7,51,44.9736,9.160860000000001
58,380,5.07701,0.876346
32,76,5.60046,2.5668
746,3,100.0,0.0
132,160,6.9884699999999995,0.9135639999999999
68,21,56.2928,7.417089999999999
54,388,4.74526,0.9070729999999999
58,677,14.2346,0.751325
78,776,15.9324,0.594803
291,244,1.15203,0.509636
84,265,4.49613,0.82801
41,3,84.5279,51.5423
70,228,2.31328,0.966742
3,351,42.1788,9.57298
11,5,77.2187,40.4929
63,8,71.0385,19.3191
25,44,21.3224,4.34143
117,59,29.5574,2.26789
30,102,5.54425,2.27316
414,17,11.6247,4.69764
933,705,8.87102,0.19336
13,260,23.3787,3.15868
3,27,58.0577,20.9425
6,224,40.3686,6.51069
11,31,0.778273,6.8689899999999975
10,195,33.9587,4.447
111,207,4.817769999999999,0.829153
14,12,60.0561,17.1698
11,13,50.8533,16.1881
26,145,14.0586,2.22607
251,789,7.18283,0.292738
18,6,78.0162,32.591
107,149,8.42566,1.04799
12,742,6.69393,2.40378
558,784,1.6936400000000005,0.207065
9,57,38.2436,7.17224
21,10,70.1074,19.6342
48,245,1.13225,1.15097
997,19,19.8349,4.84008
32,227,8.19784,1.59229
3,242,51.3683,11.1218
87,6,69.8068,22.658
31,6,78.6027,29.9879
295,348,0.893225,0.403778
9,311,25.1499,4.0204
110,4,70.2263,29.8422
70,245,3.0567900000000003,0.940923
29,3,85.8293,55.4573
13,245,24.5785,3.2354
59,825,18.0073,0.7162569999999999
11,85,36.7441,5.42661
5,39,50.774,12.9294
447,4,70.4438,84.3793
13,13,55.6426,15.9594
980,302,18.4065,0.350901
33,409,1.4194,1.2285700000000002
5,44,53.1344,12.6275
51,209,0.43793,1.18699
71,52,33.8899,2.96119
362,32,11.3731,2.68332
241,14,34.3877,6.90879
5,38,50.1963,12.9917
24,146,16.2036,2.36357
3,9,5.58371,24.814
48,348,1.97271,1.00526
291,188,0.460687,0.605617
451,229,7.82861,0.484382
28,25,48.5856,7.48733
14,49,13.4715,5.1013
5,34,47.2485,13.2562
13,551,1.8023099999999999,2.3283
26,70,0.918933,2.89048
182,405,3.22722,0.45821300000000004
756,92,17.5261,0.962882
200,3,61.9477,32.3083
34,9,73.1845,20.1187
932,61,21.8995,1.38659
22,331,8.84322,1.83155
3,22,51.5546,21.5462
94,3,76.5791,40.2402
5,622,13.3785,5.1117
700,156,15.8941,0.616794
18,10,68.7387,20.0165
178,43,29.8805,2.65731
464,46,0.8779049999999999,1.7584400000000002
95,53,33.4072,2.68245
125,20,48.8761,6.36348
127,6,62.4633,19.7062
333,876,4.67328,0.242806
3,25,55.844,21.1794
20,4,83.3446,46.2409
4,402,31.9279,7.1913
51,241,0.0210205,1.1114899999999999
53,325,2.16243,0.970329
27,6,78.7725,30.7344
8,55,41.6853,8.01315
294,937,6.87018,0.250796
689,162,15.6037,0.5982430000000001
150,12,50.6916,9.679160000000001
6,417,23.1744,5.04744
204,19,36.7301,5.5225800000000005
3,971,12.7522,8.64616
572,7,10.5647,13.2358
60,223,2.00893,1.05904
601,26,6.87144,2.95906
126,226,3.63239,0.7421399999999999
18,69,14.9078,3.79975
61,49,35.1959,3.2580400000000003
55,301,2.27608,0.9795280000000001
11,341,19.2956,3.25601
7,22,7.00259,10.6341
16,684,7.545960000000001,1.94345
29,102,6.7746699999999995,2.32577
4,4,62.8668,52.2383
431,89,2.90465,1.0083
187,21,38.2735,5.1958
7,36,35.2151,9.8287
11,14,47.6693,15.0254
28,24,49.9744,7.8063
8,9,55.4755,23.8254
220,375,1.91172,0.43525699999999995
5,177,48.3789,8.3463
544,54,7.27337,1.53462
13,42,9.78808,5.6218900000000005
232,62,17.9817,1.70245
514,715,1.95499,0.223813
282,44,17.0356,2.18295
18,8,73.2807,24.853
203,554,4.98492,0.375975
176,101,14.4247,1.20382
8,4,77.2485,50.5245
264,20,27.5194,4.74195
304,3,51.0724,31.6113
54,10,69.7486,16.345
37,922,20.0334,1.00265
8,16,26.2297,13.4412
197,16,39.705999999999996,6.5994100000000016
65,12,65.7127,13.0173
5,23,30.9492,14.0787
52,4,80.1326,38.128
17,615,5.13167,1.86887
547,35,5.25815,2.2459
28,49,20.078,3.84246
57,26,52.4396,6.26695
14,741,8.40606,2.14203
147,8,55.6661,14.282
39,167,4.39962,1.5576
3,545,29.6164,8.27771
92,8,65.8171,17.0553
20,107,19.5,3.0446
17,199,22.7914,2.79536
6,779,2.25209,4.09836
11,205,31.2406,4.01706
9,7,66.7599,30.1067
105,836,15.0979,0.474293
568,86,10.5007,1.02719
13,253,23.9326,3.19434
9,768,4.00748,2.97151
218,3,59.8432,31.9171
192,50,25.6383,2.23461
25,35,32.4832,5.42161
31,54,19.0029,3.44323
15,9,69.0573,22.638
105,309,4.76443,0.6876180000000001
6,23,20.4595,12.0575
716,11,5.27988,8.02208
25,41,24.8008,4.6426300000000005
679,80,14.8874,1.0898
130,8,58.7322,14.987
113,28,45.56,4.75176
457,608,2.67564,0.25463
90,23,52.0381,6.22635
166,3,66.2156,33.5681
29,7,76.8058,26.3048
7,23,10.3584,10.5676
7,129,46.7502,7.06167
601,9,4.32101,9.581669999999999
11,801,7.90565,2.56218
47,24,54.3241,7.1024899999999995
12,88,34.3031,4.9789400000000015
12,131,34.5388,4.39387
270,71,12.3439,1.41975
138,120,12.2566,1.13143
20,51,3.73005,3.96377
333,13,23.1298,6.5853399999999995
185,444,4.23897,0.437367
332,4,41.3545,23.7123
287,15,27.3291,6.0395900000000005
433,4,71.068,85.4937
106,650,10.9489,0.505999
60,798,17.3282,0.711841
3,5,44.1201,43.2088
3,104,64.6479,15.3333
30,527,6.63749,1.25518
174,175,5.35343,0.776541
31,772,15.6713,1.16804
23,59,3.15099,3.4072699999999996
48,551,10.3648,0.896632
270,280,0.792984,0.47850299999999996
67,56,31.2055,2.79705
929,936,5.4366,0.163608
550,10,6.24622,8.26102
4,75,61.4041,13.4202
532,494,6.59997,0.276762
16,147,26.8596,3.29555
5,19,19.1688,14.4253
517,645,2.7615,0.23513499999999998
11,7,70.4372,29.6528
139,41,35.3068,3.04263
64,8,70.8969,19.2279
503,151,9.37725,0.652979
43,247,2.0343400000000003,1.23281
52,163,0.232931,1.31455
17,15,56.7994,13.4519
18,726,10.3842,1.77395
108,13,57.3143,10.1731
85,72,24.464000000000002,2.06048
936,118,21.8558,0.771135
135,53,30.6003,2.39839
437,116,4.84625,0.81201
146,27,41.3515,4.486280000000002
488,152,8.64604,0.650836
7,752,0.664667,3.58775
208,297,1.08421,0.508536
84,60,30.0345,2.46267
161,654,9.73772,0.398062
150,49,30.7554,2.49174
77,166,5.30966,1.10897
11,90,37.1222,5.33566
742,196,16.4939,0.508685
63,514,9.44913,0.758443
397,70,1.47914,1.25044
564,486,7.279960000000001,0.27544
56,15,63.5542,10.9142
120,5,65.8058,23.7369
100,4,71.9334,30.8836
58,6,75.0424,25.8169
113,97,17.1712,1.44606
116,4,69.2159,29.2756
80,149,6.98101,1.16643
369,36,9.65934,2.38368
492,135,8.502,0.714005
3,185,56.7981,12.3969
3,785,18.8247,8.272260000000001
47,11,69.2492,15.4494
28,411,0.472665,1.37412
26,617,9.43849,1.36514
16,18,48.6759,11.252
582,72,10.4579,1.19515
167,34,34.9663,3.4129400000000003
388,64,2.90714,1.36855
5,235,42.4097,7.4378600000000015
10,952,11.5678,2.75786
13,63,26.164,5.10043
34,33,41.8721,5.46298
717,534,8.54428,0.2441760000000001
246,12,35.3089,7.94188
3,791,18.6028,8.28244
46,45,35.1565,3.77674
3,525,30.7213,8.34527
630,17,5.38105,4.57172
103,785,14.6147,0.490854
112,6,65.1801,20.6685
46,719,15.2794,0.877117
105,86,20.4367,1.64904
498,115,8.14541,0.811264
167,4,61.155,25.8867
213,5,51.1259,19.5992
249,179,2.0826,0.6664329999999999
729,48,15.5553,1.71297
109,17,53.7339,7.831469999999999
95,26,49.2998,5.41898
7,12,36.6952,18.0776
55,407,5.3835,0.8824049999999999
280,54,14.9053,1.80614
8,66,44.3276,7.67043
150,15,48.2142,7.82667
224,863,9.2404,0.297477
115,585,10.2312,0.502383
49,11,69.0669,15.2928
3,670,23.4869,8.13697
8,111,45.1073,6.61084
60,17,60.9311,9.469330000000001
56,261,0.425332,1.01725
40,260,3.4746,1.27179
488,414,6.8593600000000015,0.31661100000000003
18,694,9.161610000000001,1.7781900000000002
679,16,7.49803,5.02032
61,71,22.6704,2.29318
823,264,16.8926,0.397644
102,6,67.0208,21.3996
67,77,21.1658,2.07729
32,452,3.27195,1.2283899999999999
5,12,17.714000000000006,18.3813
30,115,7.98072,2.1747799999999997
179,329,3.76156,0.516935
69,5,74.9997,28.8387
64,31,48.2363,5.09756
54,202,0.304576,1.16772
5,43,52.7548,12.6867
30,67,8.399339999999999,2.88255
98,315,4.98946,0.706705
104,6,66.6547,21.2471
60,23,55.0842,7.0026899999999985
548,907,0.33973600000000004,0.191866
25,119,13.8927,2.46549
88,142,8.24789,1.16096
86,338,5.33767,0.729565
31,34,38.9919,5.38978
16,246,20.6094,2.70502
21,114,18.6811,2.86958
3,427,36.733,8.8892
4,690,14.8599,6.15529
23,768,13.8088,1.46666
13,6,75.7192,33.7613
18,72,16.234,3.75283
69,6,73.1126,24.485
853,21,16.4951,4.00614
975,309,18.2838,0.345459
393,243,5.80992,0.476113
26,5,80.9276,36.5069
127,47,33.9322,2.74844
144,51,30.7216,2.43315
63,177,2.82953,1.16012
71,5,74.6402,28.5757
75,8,68.9521,18.2887
29,13,66.6068,14.4429
544,337,9.20818,0.354358
3,17,40.2044,22.2095
768,698,6.66051,0.203103
671,7,77.1911,61.2897
175,659,8.88825,0.378383
26,352,5.11149,1.5577
5,88,56.3912,10.6437
395,7,24.6678,12.5979
195,324,1.81847,0.498059
